,text,id,created_at,coder1.Sentiment....1.negative..0.neutral..1.positive.,coder1.Political...0.no..1.yes.,coder1.Ideology....1.liberal..0.neutral..1.conservative.,coder1.Immigration,coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder1.National.Security..Veterans..Military..Foreign.Terrorism.,coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder1.Education,coder1.Health.Care..Obamacare.,coder1.Governance,coder1.No.Policy.Content,coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder1.Asks.you.to.watch.something.share.something.follow.something,coder1.Misc..other.plea.for.action,coder1.Makes.a.Factual.or.Verifiable.Claim,coder1.Expresses.an.Opinion,coder1.coder,coder2.Sentiment....1.negative..0.neutral..1.positive.,coder2.Political...0.no..1.yes.,coder2.Ideology....1.liberal..0.neutral..1.conservative.,coder2.Immigration,coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder2.National.Security..Veterans..Military..Foreign.Terrorism.,coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder2.Education,coder2.Health.Care..Obamacare.,coder2.Governance,coder2.No.Policy.Content,coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder2.Asks.you.to.watch.something.share.something.follow.something,coder2.Misc..other.plea.for.action,coder2.Makes.a.Factual.or.Verifiable.Claim,coder2.Expresses.an.Opinion,coder.y,src
1,".@GOP's image sinks under ugly primary-@KarlRove attacks Hillary, GOP scared to face her + more in #FridayHotTakes https://t.co/ebPDIHZm85",690673935252332544,1/22/2016 23:14:32,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
2,.@GovernorPerry: We got to get Washington out of the business of sending curriculum to the states. #Hannity http://t.co/xJG7j8Eq30,627464330888499200,8/1/2015 13:02:08,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,brittany,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,emily,brittanyemily
3,.@MegynKelly @BretBaier Ask #TedCruz the next question. We want to hear from him! #GOPDebate,629477968335781888,8/7/2015 2:23:37,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
4,.@realDonaldTrump continues to stand by his hurtful and offensive rhetoric to ban Muslims from entering the US https://t.co/vAMMyMaUtW,674285186440421376,12/8/2015 17:51:30,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,emily,brittanyemily
5,".@realDonaldTrump, youre disgusting. https://t.co/gDPXpwckhN",780850770279145472,9/27/2016 19:25:05,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
6,".@realDonaldTrump: ""It's possible"" a Muslim judge wouldn't treat him fairly. https://t.co/xLTONCsFsk via @Salon",739833254006685696,6/6/2016 14:56:07,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
7,".@SarahPalinUSA, does this include calling out @realDonaldTrump's lies? https://t.co/5eFlPSAaPo #TrumpLies
https://t.co/JKg7CM0R5q",748925463326695424,7/1/2016 17:05:19,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
8,.@SenatorBarb on why she's ready for @HillaryClinton: https://t.co/B35wc1n2xL via @baltimoresun #ImWithHer,723623153650544640,4/22/2016 21:22:58,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,emily,brittanyemily
9,"""#Trump previously supported every single foreign policy decision he now decries."" https://t.co/cBDPvHt1zw",773655539213631488,9/7/2016 22:53:49,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,brittany,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,emily,brittanyemily
10,"""I will not give away our values and principles for the sake of political correctness"" - Ben Carson #winbenwin",648257787936423936,9/27/2015 22:07:55,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,emily,brittanyemily
