index,text,Sentiment,Political,Ideology,Immigration,Macroeconomic,National_Security,Crime,Civil_Rights,Environment,Education,Health_Care,Governance,No_Policy_Content,Asks_for_Donation,Asks_you_to_watch_something_share_something_follow_something,Misc,Makes_a_Factual_or_Verifiable_Claim,Expresses_an_Opinion
1,the sheer size and remoteness of the federal bureaucracy has caused the american people to lose trust in government ,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,rt pilotnews ex va gov jim gilmore not giving up presidential bid aims to perform well in home state,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,listen here cruzcrew ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
4,rt freebeacon tedcruz on jailing of christian ky clerk this is wrong this is not america ,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,just one candidate is in a strong position to defeat hillary clinton in november john kasich ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,champions welcome to nyc ussoccer wnt ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7,rt reprodblum today i voted no on hr2048 the usafreedomact because it continues the violation of the 4th amendment rights of americ,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8,thanks for joining cruzcountry see y all again shortly ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9,hey cpac john kasich s plan returns power money amp influence back to the people ,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10,rt thebriefing2016 you re right johnkasich the economy was in great shape when billclinton left office gopdebate,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,rt leedanielsent imwithher because hillaryclinton knows we re stillfighting for full lgbt equality ,1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12,rt tomnocera the reagan trump images are inspiring the silentmajority sense something better for america is coming in trump2016 http,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
13,humbled amp honored by the overflow crowds the pizza ranch in ottumwa iowa this morning imwithhuck,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
14,rt ie4bernie one hour until stay and this house is getting packed bernie2016 bernieinla feelthebern,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
